cc_01 ,cc_02,cc_03 ,cc_04 ,cc_05 ,cc_06 ,cc_07 ,cc_08 ,cc_09 ,cc_10 ,cc_11 ,cc_12 ,cc_13 ,cc_14 ,cc_15 ,cc_16 ,cc_17 ,cc_18 ,cc_19 ,cc_20 ,cc_21 ,cc_22 ,cc_23 ,cc_24 
0.749866128,0.538404584,0.314252913,0.194271207,0.172091514,0.15844962,0.656926394,0.651330173,0.65087837,0.683390856,0.695420086,0.520622969,0.604171097,0.649781823,0.577088296,0.511784792,0.589341223,0.63634342,0.307033151,0.643384039,0.478336692,0.295045108,0.680862427,0.720977008
0.748921275,0.538052797,0.314270318,0.194345176,0.172151625,0.158522516,0.655912399,0.650457263,0.650016427,0.682431936,0.69443202,0.520358384,0.603486955,0.648848832,0.576531827,0.51126945,0.588749826,0.635519922,0.307009399,0.642815113,0.478102863,0.295027703,0.679923296,0.71996206
0.748209596,0.537820816,0.314310819,0.19440107,0.172209769,0.158584744,0.655149043,0.649808824,0.649348497,0.681668758,0.693668604,0.520170689,0.602955282,0.648154736,0.576123059,0.510907054,0.588323832,0.634903967,0.307031691,0.642433643,0.477977097,0.295055538,0.679232478,0.719216824
0.747646928,0.537652493,0.314369112,0.194462135,0.172274441,0.158650517,0.654527843,0.649305701,0.648775935,0.680995941,0.693026066,0.520003617,0.602539301,0.647622824,0.575805247,0.510633409,0.588030815,0.634429038,0.30709061,0.642209888,0.477937043,0.295110971,0.67871964,0.718649149
0.747313738,0.537602365,0.314447135,0.194516659,0.172334865,0.158712864,0.654156864,0.649019778,0.648417711,0.680562019,0.692640007,0.519957125,0.602256119,0.647290409,0.575626194,0.510506034,0.58789587,0.634136975,0.307184726,0.642140448,0.477976829,0.295205683,0.678440392,0.718338907
0.747173011,0.537653387,0.31455186,0.194566369,0.172397047,0.158772349,0.654004514,0.648929715,0.648223042,0.680302262,0.692451894,0.519992411,0.602114439,0.647156477,0.575587869,0.510528803,0.587936997,0.634036779,0.307328045,0.642246127,0.478120863,0.295348287,0.678385854,0.718287349
0.747244596,0.537799239,0.314661711,0.194614038,0.172456935,0.158828735,0.654059768,0.649026036,0.648212552,0.680249095,0.69247967,0.520115614,0.602073014,0.647189498,0.575638175,0.510638773,0.588076711,0.63406539,0.307480842,0.642469645,0.478310436,0.295501083,0.678512096,0.718413174
0.74758929,0.538082421,0.314789593,0.194663599,0.172525018,0.158892512,0.654396534,0.649388194,0.648446977,0.680458367,0.692801297,0.520360708,0.602194428,0.647456646,0.575840533,0.510895848,0.588401556,0.634300232,0.307680607,0.642904639,0.478604168,0.295706719,0.67892909,0.718839526
0.748031259,0.538397789,0.314924091,0.194702923,0.172574013,0.158939242,0.654824972,0.649813235,0.648746967,0.680750728,0.693203449,0.520635843,0.60235697,0.647813439,0.576083839,0.511207283,0.588767886,0.634602785,0.307872474,0.64336431,0.478904873,0.29589358,0.679406583,0.719328403
0.748780012,0.538857162,0.315077335,0.194739908,0.172619581,0.158977285,0.655559957,0.650509834,0.649303257,0.681339145,0.693906069,0.521043539,0.602662206,0.648418903,0.576464355,0.511670887,0.589306295,0.635115564,0.308084488,0.6440081,0.479281604,0.296095908,0.680136085,0.720085025
